lat,lon,timezone,timezone_offset,data,City
45.55,11.55,Europe/Rome,7200,"[{'dt': 1697148000, 'sunrise': 1697174796, 'sunset': 1697214802, 'temp': 17.76, 'feels_like': 17.92, 'pressure': 1019, 'humidity': 89, 'dew_point': 15.92, 'clouds': 51, 'wind_speed': 2.13, 'wind_deg': 142, 'wind_gust': 3.12, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]}]",Vicenza
45.55,11.55,Europe/Rome,7200,"[{'dt': 1697151600, 'sunrise': 1697174796, 'sunset': 1697214802, 'temp': 17.98, 'feels_like': 18.08, 'pressure': 1017, 'humidity': 86, 'dew_point': 15.61, 'clouds': 100, 'wind_speed': 1.46, 'wind_deg': 107, 'wind_gust': 1.51, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]}]",Vicenza
45.55,11.55,Europe/Rome,7200,"[{'dt': 1697155200, 'sunrise': 1697174796, 'sunset': 1697214802, 'temp': 17.21, 'feels_like': 17.36, 'pressure': 1019, 'humidity': 91, 'dew_point': 15.73, 'clouds': 100, 'wind_speed': 1.46, 'wind_deg': 107, 'wind_gust': 1.51, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]}]",Vicenza
45.55,11.55,Europe/Rome,7200,"[{'dt': 1697158800, 'sunrise': 1697174796, 'sunset': 1697214802, 'temp': 17.76, 'feels_like': 17.94, 'pressure': 1019, 'humidity': 90, 'dew_point': 16.1, 'clouds': 100, 'wind_speed': 1.46, 'wind_deg': 107, 'wind_gust': 1.51, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]}]",Vicenza
45.55,11.55,Europe/Rome,7200,"[{'dt': 1697162400, 'sunrise': 1697174796, 'sunset': 1697214802, 'temp': 17.78, 'feels_like': 17.96, 'pressure': 1019, 'humidity': 90, 'dew_point': 16.12, 'clouds': 100, 'wind_speed': 0.45, 'wind_deg': 115, 'wind_gust': 0.64, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]}]",Vicenza
45.55,11.55,Europe/Rome,7200,"[{'dt': 1697166000, 'sunrise': 1697174796, 'sunset': 1697214802, 'temp': 17.61, 'feels_like': 17.78, 'pressure': 1019, 'humidity': 90, 'dew_point': 15.95, 'clouds': 100, 'wind_speed': 0.45, 'wind_deg': 115, 'wind_gust': 0.64, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]}]",Vicenza
45.55,11.55,Europe/Rome,7200,"[{'dt': 1697169600, 'sunrise': 1697174796, 'sunset': 1697214802, 'temp': 17.83, 'feels_like': 18.02, 'pressure': 1019, 'humidity': 90, 'dew_point': 16.17, 'clouds': 100, 'wind_speed': 0.45, 'wind_deg': 115, 'wind_gust': 0.64, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]}]",Vicenza
45.55,11.55,Europe/Rome,7200,"[{'dt': 1697173200, 'sunrise': 1697174796, 'sunset': 1697214802, 'temp': 17.83, 'feels_like': 18.02, 'pressure': 1019, 'humidity': 90, 'dew_point': 16.17, 'clouds': 90, 'wind_speed': 0.9, 'wind_deg': 272, 'wind_gust': 0.91, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]}]",Vicenza
45.55,11.55,Europe/Rome,7200,"[{'dt': 1697176800, 'sunrise': 1697174796, 'sunset': 1697214802, 'temp': 18.05, 'feels_like': 18.26, 'pressure': 1019, 'humidity': 90, 'dew_point': 16.39, 'clouds': 90, 'wind_speed': 0.9, 'wind_deg': 272, 'wind_gust': 0.91, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]}]",Vicenza
45.55,11.55,Europe/Rome,7200,"[{'dt': 1697180400, 'sunrise': 1697174796, 'sunset': 1697214802, 'temp': 18.76, 'feels_like': 19.04, 'pressure': 1020, 'humidity': 90, 'dew_point': 17.09, 'clouds': 90, 'wind_speed': 0.9, 'wind_deg': 272, 'wind_gust': 0.91, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]}]",Vicenza
